In_preprint	Study	Sample	Experiment	Run	Run_count	Platform	Country	Region	Collection_date	First_created	Date_tree	Date_tree_order	Viridian_result	Genbank_accession	Genbank_other_runs	In_Viridian_tree	In_intersection	Artic_primer_version	Viridian_amplicon_scheme	Viridian_N	Genbank_N	Viridian_pangolin	Viridian_scorpio	Genbank_pangolin	Genbank_scorpio	Genbank_tree_name	Viridian_cons_len	Viridian_cons_het	Viridian_pangolin_1.29	Viridian_scorpio_1.29
T	PRJEB47121	SAMEA9781405	ERX6172613	ERR6546385	1	ILLUMINA	Estonia	none	2021-08-02	2021-08-22	2021-08-02	Date	PASS	.	.	F	F	.	COVID-ARTIC-V3	289	.	AY.122	Delta (B.1.617.2-like)	.	.	.	29804	6	AY.122	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781406	ERX6172614	ERR6546386	1	ILLUMINA	Estonia	none	2021-08-02	2021-08-22	2021-08-02	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	1017	.	AY.122	Delta (B.1.617.2-like)	.	.	.	29800	0	AY.122	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781407	ERX6172615	ERR6546387	1	ILLUMINA	Estonia	none	2021-08-02	2021-08-22	2021-08-02	Date	PASS	.	.	F	F	.	COVID-ARTIC-V3	432	.	AY.122	Delta (B.1.617.2-like)	.	.	.	29799	13	AY.122	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781408	ERX6172616	ERR6546388	1	ILLUMINA	Estonia	none	2021-08-02	2021-08-22	2021-08-02	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	274	.	AY.122	Delta (B.1.617.2-like)	.	.	.	29800	1	AY.122	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781409	ERX6172617	ERR6546389	1	ILLUMINA	Estonia	none	2021-08-02	2021-08-22	2021-08-02	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	514	.	AY.100	Delta (B.1.617.2-like)	.	.	.	29799	1	AY.100	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781410	ERX6172618	ERR6546390	1	ILLUMINA	Estonia	none	2021-08-02	2021-08-22	2021-08-02	Date	PASS	.	.	F	F	.	COVID-ARTIC-V3	638	.	B.1.617.2	Delta (B.1.617.2-like)	.	.	.	29799	17	AY.100	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781411	ERX6172619	ERR6546391	1	ILLUMINA	Estonia	none	2021-08-02	2021-08-22	2021-08-02	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	1098	.	AY.122	Delta (B.1.617.2-like)	.	.	.	29799	0	AY.122	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781412	ERX6172620	ERR6546392	1	ILLUMINA	Estonia	none	2021-08-02	2021-08-22	2021-08-02	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	580	.	AY.4.4	Delta (AY.4-like)	.	.	.	29799	1	AY.4.4	Delta (AY.4-like)
T	PRJEB47121	SAMEA9781413	ERX6172621	ERR6546393	1	ILLUMINA	Estonia	none	2021-08-02	2021-08-22	2021-08-02	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	1013	.	AY.122.2	Delta (B.1.617.2-like)	.	.	.	29799	0	AY.122.2	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781414	ERX6172622	ERR6546394	1	ILLUMINA	Estonia	none	2021-08-02	2021-08-22	2021-08-02	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	759	.	AY.43	Delta (B.1.617.2-like)	.	.	.	29797	0	AY.43	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781415	ERX6172623	ERR6546395	1	ILLUMINA	Estonia	none	2021-08-02	2021-08-22	2021-08-02	Date	PASS	.	.	F	F	.	COVID-ARTIC-V3	1000	.	B.1.617.2	Delta (B.1.617.2-like)	.	.	.	29802	17	B.1.617.2	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781416	ERX6172624	ERR6546396	1	ILLUMINA	Estonia	none	2021-08-02	2021-08-22	2021-08-02	Date	PASS	.	.	F	F	.	COVID-ARTIC-V3	285	.	B.1.617.2	Delta (B.1.617.2-like)	.	.	.	29800	18	B.1.617.2	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781417	ERX6172625	ERR6546397	1	ILLUMINA	Estonia	none	2021-08-02	2021-08-22	2021-08-02	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	290	.	AY.43	Delta (B.1.617.2-like)	.	.	.	29810	0	AY.43	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781418	ERX6172626	ERR6546398	1	ILLUMINA	Estonia	none	2021-08-02	2021-08-22	2021-08-02	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	346	.	AY.4.6	Delta (AY.4-like)	.	.	.	29800	0	AY.4.6	Delta (AY.4-like)
T	PRJEB47121	SAMEA9781445	ERX6172653	ERR6546399	1	ILLUMINA	Estonia	none	2021-08-03	2021-08-22	2021-08-03	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	286	.	AY.122	Delta (B.1.617.2-like)	.	.	.	29802	1	AY.122	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781446	ERX6172654	ERR6546400	1	ILLUMINA	Estonia	none	2021-08-03	2021-08-22	2021-08-03	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	292	.	AY.122	Delta (B.1.617.2-like)	.	.	.	29794	2	AY.122	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781447	ERX6172655	ERR6546401	1	ILLUMINA	Estonia	none	2021-08-03	2021-08-22	2021-08-03	Date	PASS	.	.	F	F	.	COVID-ARTIC-V3	479	.	B.1.617.2	Delta (B.1.617.2-like)	.	.	.	29800	24	B.1.617.2	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781357	ERX6172565	ERR6546402	1	ILLUMINA	Estonia	none	2021-08-01	2021-08-22	2021-08-01	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	295	.	AY.100	Delta (B.1.617.2-like)	.	.	.	29798	1	AY.100	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781358	ERX6172566	ERR6546403	1	ILLUMINA	Estonia	none	2021-08-01	2021-08-22	2021-08-01	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	746	.	AY.122	Delta (B.1.617.2-like)	.	.	.	29800	2	AY.122	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781359	ERX6172567	ERR6546404	1	ILLUMINA	Estonia	none	2021-08-01	2021-08-22	2021-08-01	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	542	.	AY.100	Delta (B.1.617.2-like)	.	.	.	29800	1	AY.100	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781360	ERX6172568	ERR6546405	1	ILLUMINA	Estonia	none	2021-08-01	2021-08-22	2021-08-01	Date	PASS	.	.	F	F	.	COVID-ARTIC-V3	286	.	B.1.617.2	Delta (B.1.617.2-like)	.	.	.	29802	20	B.1.617.2	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781361	ERX6172569	ERR6546406	1	ILLUMINA	Estonia	none	2021-08-01	2021-08-22	2021-08-01	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	825	.	AY.122	Delta (B.1.617.2-like)	.	.	.	29801	1	AY.122	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781362	ERX6172570	ERR6546407	1	ILLUMINA	Estonia	none	2021-08-01	2021-08-22	2021-08-01	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	293	.	AY.122	Delta (B.1.617.2-like)	.	.	.	29798	0	AY.122	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781363	ERX6172571	ERR6546408	1	ILLUMINA	Estonia	none	2021-08-01	2021-08-22	2021-08-01	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	285	.	AY.122	Delta (B.1.617.2-like)	.	.	.	29800	0	AY.122	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781364	ERX6172572	ERR6546409	1	ILLUMINA	Estonia	none	2021-08-01	2021-08-22	2021-08-01	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	286	.	AY.122	Delta (B.1.617.2-like)	.	.	.	29802	1	AY.122	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781365	ERX6172573	ERR6546410	1	ILLUMINA	Estonia	none	2021-08-01	2021-08-22	2021-08-01	Date	PASS	.	.	F	F	.	COVID-ARTIC-V3	286	.	AY.122	Delta (B.1.617.2-like)	.	.	.	29808	4	AY.122	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781366	ERX6172574	ERR6546411	1	ILLUMINA	Estonia	none	2021-08-01	2021-08-22	2021-08-01	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	464	.	AY.122	Delta (B.1.617.2-like)	.	.	.	29795	1	AY.122	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781367	ERX6172575	ERR6546412	1	ILLUMINA	Estonia	none	2021-08-01	2021-08-22	2021-08-01	Date	PASS	.	.	F	F	.	COVID-ARTIC-V3	1025	.	B.1.617.2	Delta (B.1.617.2-like)	.	.	.	29800	14	B.1.617.2	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781368	ERX6172576	ERR6546413	1	ILLUMINA	Estonia	none	2021-08-01	2021-08-22	2021-08-01	Date	PASS	.	.	F	F	.	COVID-ARTIC-V3	470	.	B.1.617.2	Delta (B.1.617.2-like)	.	.	.	29805	8	B.1.617.2	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781369	ERX6172577	ERR6546414	1	ILLUMINA	Estonia	none	2021-08-01	2021-08-22	2021-08-01	Date	PASS	.	.	F	F	.	COVID-ARTIC-V3	716	.	B.1.617.2	Delta (B.1.617.2-like)	.	.	.	29808	15	B.1.617.2	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781370	ERX6172578	ERR6546415	1	ILLUMINA	Estonia	none	2021-08-01	2021-08-22	2021-08-01	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	285	.	AY.43	Delta (B.1.617.2-like)	.	.	.	29806	1	AY.43	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781371	ERX6172579	ERR6546416	1	ILLUMINA	Estonia	none	2021-08-01	2021-08-22	2021-08-01	Date	PASS	.	.	F	F	.	COVID-ARTIC-V3	1098	.	AY.122	Delta (B.1.617.2-like)	.	.	.	29795	8	AY.122	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781372	ERX6172580	ERR6546417	1	ILLUMINA	Estonia	none	2021-08-01	2021-08-22	2021-08-01	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	337	.	AY.122	Delta (B.1.617.2-like)	.	.	.	29800	1	AY.122	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781373	ERX6172581	ERR6546418	1	ILLUMINA	Estonia	none	2021-08-01	2021-08-22	2021-08-01	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	581	.	AY.122	Delta (B.1.617.2-like)	.	.	.	29800	3	AY.122	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781419	ERX6172627	ERR6546419	1	ILLUMINA	Estonia	none	2021-08-02	2021-08-22	2021-08-02	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	787	.	AY.122	Delta (B.1.617.2-like)	.	.	.	29799	0	AY.122	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781374	ERX6172582	ERR6546420	1	ILLUMINA	Estonia	none	2021-08-01	2021-08-22	2021-08-01	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	295	.	AY.100	Delta (B.1.617.2-like)	.	.	.	29805	1	AY.100	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781375	ERX6172583	ERR6546421	1	ILLUMINA	Estonia	none	2021-08-01	2021-08-22	2021-08-01	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	560	.	AY.122	Delta (B.1.617.2-like)	.	.	.	29801	1	AY.122	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781376	ERX6172584	ERR6546422	1	ILLUMINA	Estonia	none	2021-08-01	2021-08-22	2021-08-01	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	296	.	AY.100	Delta (B.1.617.2-like)	.	.	.	29808	2	AY.100	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781377	ERX6172585	ERR6546423	1	ILLUMINA	Estonia	none	2021-08-01	2021-08-22	2021-08-01	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	326	.	AY.122.2	Delta (B.1.617.2-like)	.	.	.	29808	0	AY.122.2	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781378	ERX6172586	ERR6546424	1	ILLUMINA	Estonia	none	2021-08-01	2021-08-22	2021-08-01	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	1514	.	AY.122	Delta (B.1.617.2-like)	.	.	.	29801	0	AY.122	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781379	ERX6172587	ERR6546425	1	ILLUMINA	Estonia	none	2021-08-01	2021-08-22	2021-08-01	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	311	.	AY.100	Delta (B.1.617.2-like)	.	.	.	29802	3	AY.100	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781380	ERX6172588	ERR6546426	1	ILLUMINA	Estonia	none	2021-08-01	2021-08-22	2021-08-01	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	349	.	AY.100	Delta (B.1.617.2-like)	.	.	.	29800	0	AY.100	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781381	ERX6172589	ERR6546427	1	ILLUMINA	Estonia	none	2021-08-01	2021-08-22	2021-08-01	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	351	.	AY.122	Delta (B.1.617.2-like)	.	.	.	29800	3	AY.122	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781382	ERX6172590	ERR6546428	1	ILLUMINA	Estonia	none	2021-08-01	2021-08-22	2021-08-01	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	1892	.	B.1.1.7	Alpha (B.1.1.7-like)	.	.	.	29777	0	B.1.1.7	Alpha (B.1.1.7-like)
T	PRJEB47121	SAMEA9781383	ERX6172591	ERR6546429	1	ILLUMINA	Estonia	none	2021-08-01	2021-08-22	2021-08-01	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	1350	.	AY.100	Delta (B.1.617.2-like)	.	.	.	29799	1	AY.100	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781384	ERX6172592	ERR6546430	1	ILLUMINA	Estonia	none	2021-08-01	2021-08-22	2021-08-01	Date	PASS	.	.	F	F	.	COVID-ARTIC-V3	11654	.	B.1.617.2	Delta (B.1.617.2-like)	.	.	.	29627	0	B.1.617.2	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781385	ERX6172593	ERR6546431	1	ILLUMINA	Estonia	none	2021-08-01	2021-08-22	2021-08-01	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	656	.	AY.100	Delta (B.1.617.2-like)	.	.	.	29784	0	AY.100	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781386	ERX6172594	ERR6546432	1	ILLUMINA	Estonia	none	2021-08-01	2021-08-22	2021-08-01	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	1019	.	AY.122	Delta (B.1.617.2-like)	.	.	.	29791	1	AY.122	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781387	ERX6172595	ERR6546433	1	ILLUMINA	Estonia	none	2021-08-01	2021-08-22	2021-08-01	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	295	.	AY.122.2	Delta (B.1.617.2-like)	.	.	.	29810	2	AY.122.2	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781388	ERX6172596	ERR6546434	1	ILLUMINA	Estonia	none	2021-08-01	2021-08-22	2021-08-01	Date	PASS	.	.	F	F	.	COVID-ARTIC-V3	285	.	AY.122.2	Delta (B.1.617.2-like)	.	.	.	29808	5	AY.122.2	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781389	ERX6172597	ERR6546435	1	ILLUMINA	Estonia	none	2021-08-01	2021-08-22	2021-08-01	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	608	.	AY.122	Delta (B.1.617.2-like)	.	.	.	29805	0	AY.122	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781390	ERX6172598	ERR6546436	1	ILLUMINA	Estonia	none	2021-08-01	2021-08-22	2021-08-01	Date	PASS	.	.	F	F	.	COVID-ARTIC-V3	766	.	AY.122	Delta (B.1.617.2-like)	.	.	.	29803	14	AY.122	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781391	ERX6172599	ERR6546437	1	ILLUMINA	Estonia	none	2021-08-01	2021-08-22	2021-08-01	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	287	.	AY.122	Delta (B.1.617.2-like)	.	.	.	29810	1	AY.122	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781392	ERX6172600	ERR6546438	1	ILLUMINA	Estonia	none	2021-08-01	2021-08-22	2021-08-01	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	285	.	AY.122	Delta (B.1.617.2-like)	.	.	.	29808	0	AY.122	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781393	ERX6172601	ERR6546439	1	ILLUMINA	Estonia	none	2021-08-01	2021-08-22	2021-08-01	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	1573	.	AY.100	Delta (B.1.617.2-like)	.	.	.	29808	1	AY.100	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781394	ERX6172602	ERR6546440	1	ILLUMINA	Estonia	none	2021-08-01	2021-08-22	2021-08-01	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	771	.	AY.100	Delta (B.1.617.2-like)	.	.	.	29800	3	AY.100	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781420	ERX6172628	ERR6546441	1	ILLUMINA	Estonia	none	2021-08-02	2021-08-22	2021-08-02	Date	PASS	.	.	F	F	.	COVID-ARTIC-V3	295	.	AY.122	Delta (B.1.617.2-like)	.	.	.	29792	6	AY.122	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781421	ERX6172629	ERR6546442	1	ILLUMINA	Estonia	none	2021-08-02	2021-08-22	2021-08-02	Date	PASS	.	.	F	F	.	COVID-ARTIC-V3	285	.	AY.122	Delta (B.1.617.2-like)	.	.	.	29808	15	AY.122	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781422	ERX6172630	ERR6546443	1	ILLUMINA	Estonia	none	2021-08-02	2021-08-22	2021-08-02	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	295	.	AY.122	Delta (B.1.617.2-like)	.	.	.	29808	1	AY.122	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781423	ERX6172631	ERR6546444	1	ILLUMINA	Estonia	none	2021-08-02	2021-08-22	2021-08-02	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	290	.	AY.122	Delta (B.1.617.2-like)	.	.	.	29811	2	AY.122	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781424	ERX6172632	ERR6546445	1	ILLUMINA	Estonia	none	2021-08-02	2021-08-22	2021-08-02	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	290	.	AY.122.2	Delta (B.1.617.2-like)	.	.	.	29810	2	AY.122.2	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781425	ERX6172633	ERR6546446	1	ILLUMINA	Estonia	none	2021-08-02	2021-08-22	2021-08-02	Date	PASS	.	.	F	F	.	COVID-ARTIC-V3	300	.	AY.100	Delta (B.1.617.2-like)	.	.	.	29800	6	AY.100	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781426	ERX6172634	ERR6546447	1	ILLUMINA	Estonia	none	2021-08-02	2021-08-22	2021-08-02	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	290	.	AY.122	Delta (B.1.617.2-like)	.	.	.	29808	2	AY.122	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781427	ERX6172635	ERR6546448	1	ILLUMINA	Estonia	none	2021-08-02	2021-08-22	2021-08-02	Date	PASS	.	.	F	F	.	COVID-ARTIC-V3	295	.	AY.122	Delta (B.1.617.2-like)	.	.	.	29800	17	AY.122	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781428	ERX6172636	ERR6546449	1	ILLUMINA	Estonia	none	2021-08-02	2021-08-22	2021-08-02	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	318	.	AY.122	Delta (B.1.617.2-like)	.	.	.	29801	0	AY.122	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781429	ERX6172637	ERR6546450	1	ILLUMINA	Estonia	none	2021-08-02	2021-08-22	2021-08-02	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	296	.	AY.122	Delta (B.1.617.2-like)	.	.	.	29808	3	AY.122	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781430	ERX6172638	ERR6546451	1	ILLUMINA	Estonia	none	2021-08-02	2021-08-22	2021-08-02	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	434	.	AY.122	Delta (B.1.617.2-like)	.	.	.	29808	0	AY.122	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781431	ERX6172639	ERR6546452	1	ILLUMINA	Estonia	none	2021-08-02	2021-08-22	2021-08-02	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	313	.	AY.122	Delta (B.1.617.2-like)	.	.	.	29808	0	AY.122	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781432	ERX6172640	ERR6546453	1	ILLUMINA	Estonia	none	2021-08-02	2021-08-22	2021-08-02	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	299	.	AY.122	Delta (B.1.617.2-like)	.	.	.	29808	1	AY.122	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781433	ERX6172641	ERR6546454	1	ILLUMINA	Estonia	none	2021-08-02	2021-08-22	2021-08-02	Date	PASS	.	.	F	F	.	COVID-ARTIC-V3	312	.	B.1.617.2	Delta (B.1.617.2-like)	.	.	.	29800	20	B.1.617.2	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781434	ERX6172642	ERR6546455	1	ILLUMINA	Estonia	none	2021-08-02	2021-08-22	2021-08-02	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	295	.	AY.4	Delta (AY.4-like)	.	.	.	29800	1	AY.4	Delta (AY.4-like)
T	PRJEB47121	SAMEA9781448	ERX6172656	ERR6546456	1	ILLUMINA	Estonia	none	2021-08-03	2021-08-22	2021-08-03	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	307	.	AY.122	Delta (B.1.617.2-like)	.	.	.	29802	0	AY.122	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781449	ERX6172657	ERR6546457	1	ILLUMINA	Estonia	none	2021-08-03	2021-08-22	2021-08-03	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	1024	.	AY.122	Delta (B.1.617.2-like)	.	.	.	29800	0	AY.122	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781435	ERX6172643	ERR6546458	1	ILLUMINA	Estonia	none	2021-08-02	2021-08-22	2021-08-02	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	295	.	AY.4.5	Delta (AY.4-like)	.	.	.	29808	1	AY.4.5	Delta (AY.4-like)
T	PRJEB47121	SAMEA9781436	ERX6172644	ERR6546459	1	ILLUMINA	Estonia	none	2021-08-02	2021-08-22	2021-08-02	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	294	.	AY.122	Delta (B.1.617.2-like)	.	.	.	29800	1	AY.122	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781437	ERX6172645	ERR6546460	1	ILLUMINA	Estonia	none	2021-08-02	2021-08-22	2021-08-02	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	282	.	AY.122	Delta (B.1.617.2-like)	.	.	.	29808	0	AY.122	Delta (B.1.617.2-like)
